"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that footer links navigate to the correct pages.","984","Footer Links Test","","Mon Sep 23 17:52:58 AMT 2024","passed","Mon Sep 23 17:52:59 AMT 2024","","UI Tests","",""
"Verifies the functionality of nested menu navigation.","1663","Test Nested Menu Navigation","","Mon Sep 23 17:52:40 AMT 2024","passed","Mon Sep 23 17:52:41 AMT 2024","","UI Tests","",""
"Verifies that a product can be added to the wishlist successfully.","1598","Add to Wishlist Test","","Mon Sep 23 17:52:51 AMT 2024","passed","Mon Sep 23 17:52:53 AMT 2024","","UI Tests","",""
"Verifies that the slider functionality works correctly by moving to the next and previous images.","2114","Slider Functionality Test","","Mon Sep 23 17:52:47 AMT 2024","passed","Mon Sep 23 17:52:49 AMT 2024","","UI Tests","",""
"Verifies the functionality of adding products to the shopping cart.","1493","Test Add to Cart Functionality","","Mon Sep 23 17:52:46 AMT 2024","passed","Mon Sep 23 17:52:47 AMT 2024","","UI Tests","",""
"Verifies the functionality of nested menu navigation.","1391","Test Nested Menu Navigation","","Mon Sep 23 17:52:41 AMT 2024","passed","Mon Sep 23 17:52:43 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","2218","Footer Links Test","","Mon Sep 23 17:52:55 AMT 2024","passed","Mon Sep 23 17:52:58 AMT 2024","","UI Tests","",""
"Verifies the search functionality by searching for a specific product.","1523","Test Product Search Functionality","","Mon Sep 23 17:52:44 AMT 2024","passed","Mon Sep 23 17:52:46 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","1277","Footer Links Test","","Mon Sep 23 17:52:53 AMT 2024","passed","Mon Sep 23 17:52:54 AMT 2024","","UI Tests","",""
"Verifies the functionality of nested menu navigation.","1358","Test Nested Menu Navigation","","Mon Sep 23 17:52:43 AMT 2024","passed","Mon Sep 23 17:52:44 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","1059","Footer Links Test","","Mon Sep 23 17:52:59 AMT 2024","passed","Mon Sep 23 17:53:00 AMT 2024","","UI Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","5115","Test Menu Item Navigation","","Mon Sep 23 17:52:33 AMT 2024","passed","Mon Sep 23 17:52:38 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","945","Footer Links Test","","Mon Sep 23 17:52:54 AMT 2024","passed","Mon Sep 23 17:52:55 AMT 2024","","UI Tests","",""
"Verifies the functionality of nested menu navigation.","1474","Test Nested Menu Navigation","","Mon Sep 23 17:52:38 AMT 2024","passed","Mon Sep 23 17:52:40 AMT 2024","","UI Tests","",""
